Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H9N7S2,C145O97N12H238,[M+H3],3
H9N7S2F1,C151O101N12H248,[M+H1],1
H9N7S2F1,C151O101N12H248,[M+H2],2
H9N7S2F1,C151O101N12H248,[M+H3],3
H9N7S2F2,C157O105N12H258,[M+H1],1
H9N7S2F2,C157O105N12H258,[M+H2],2
H9N7S2F2,C157O105N12H258,[M+H3],3
H9N7S2F3,C163O109N12H268,[M+H1],1
H9N7S2F3,C163O109N12H268,[M+H2],2
H9N7S2F3,C163O109N12H268,[M+H3],3
H9N7S2F4,C169O113N12H278,[M+H1],1
H9N7S2F4,C169O113N12H278,[M+H2],2
H9N7S2F4,C169O113N12H278,[M+H3],3
H9N7S3,C156O105N13H255,[M+H1],1
H9N7S3,C156O105N13H255,[M+H2],2
H9N7S3,C156O105N13H255,[M+H3],3
H9N7S3F1,C162O109N13H265,[M+H1],1
H9N7S3F1,C162O109N13H265,[M+H2],2
H9N7S3F1,C162O109N13H265,[M+H3],3
H9N7S3F2,C168O113N13H275,[M+H1],1
H9N7S3F2,C168O113N13H275,[M+H2],2
H9N7S3F2,C168O113N13H275,[M+H3],3
H9N7S3F3,C174O117N13H285,[M+H1],1
H9N7S3F3,C174O117N13H285,[M+H2],2
H9N7S3F3,C174O117N13H285,[M+H3],3
H9N7S4,C167O113N14H272,[M+H1],1
H9N7S4,C167O113N14H272,[M+H2],2
H9N7S4,C167O113N14H272,[M+H3],3
H9N7S4F1,C173O117N14H282,[M+H1],1
H9N7S4F1,C173O117N14H282,[M+H2],2
H9N7S4F1,C173O117N14H282,[M+H3],3
H9N7S4F2,C179O121N14H292,[M+H1],1
H9N7S4F2,C179O121N14H292,[M+H2],2
H9N7S4F2,C179O121N14H292,[M+H3],3
H9N8,C131O86N11H217,[M+H1],1
H9N8,C131O86N11H217,[M+H2],2
H9N8,C131O86N11H217,[M+H3],3
H9N8F1,C137O90N11H227,[M+H1],1
H9N8F1,C137O90N11H227,[M+H2],2
H9N8F1,C137O90N11H227,[M+H3],3
H9N8F2,C143O94N11H237,[M+H1],1
H9N8F2,C143O94N11H237,[M+H2],2
